symbol,timeframe,timestamp,price,next_close,success
IOTA/USDT,6h,2025-04-10 00:00:00,0.1586,0.1565,False
IOTA/USDT,6h,2025-04-10 06:00:00,0.1565,0.1551,False
IOTA/USDT,6h,2025-04-10 12:00:00,0.1551,0.1566,True
IOTA/USDT,6h,2025-04-10 18:00:00,0.1566,0.1604,True
IOTA/USDT,6h,2025-04-11 00:00:00,0.1604,0.1595,False
IOTA/USDT,6h,2025-04-11 06:00:00,0.1595,0.1637,True
IOTA/USDT,6h,2025-04-11 12:00:00,0.1637,0.1613,False
IOTA/USDT,6h,2025-04-11 18:00:00,0.1613,0.1608,False
IOTA/USDT,6h,2025-04-12 00:00:00,0.1608,0.1631,True
IOTA/USDT,6h,2025-04-12 06:00:00,0.1631,0.1674,True
IOTA/USDT,6h,2025-04-12 12:00:00,0.1674,0.1712,True
IOTA/USDT,6h,2025-04-12 18:00:00,0.1712,0.1662,False
IOTA/USDT,6h,2025-04-13 00:00:00,0.1662,0.1685,True
IOTA/USDT,6h,2025-04-13 06:00:00,0.1685,0.1693,True
IOTA/USDT,6h,2025-04-13 12:00:00,0.1693,0.1624,False
IOTA/USDT,6h,2025-04-13 18:00:00,0.1624,0.1629,True
IOTA/USDT,6h,2025-04-14 00:00:00,0.1629,0.1657,True
IOTA/USDT,6h,2025-04-14 06:00:00,0.1657,0.1633,False
IOTA/USDT,6h,2025-04-19 00:00:00,0.1619,0.1615,False
IOTA/USDT,6h,2025-04-19 06:00:00,0.1615,0.1635,True
IOTA/USDT,6h,2025-04-19 12:00:00,0.1635,0.1661,True
IOTA/USDT,6h,2025-04-19 18:00:00,0.1661,0.1686,True
IOTA/USDT,6h,2025-04-20 00:00:00,0.1686,0.1627,False
IOTA/USDT,6h,2025-04-20 06:00:00,0.1627,0.1651,True
IOTA/USDT,6h,2025-04-20 12:00:00,0.1651,0.1648,False
IOTA/USDT,6h,2025-04-20 18:00:00,0.1648,0.1685,True
IOTA/USDT,6h,2025-04-21 00:00:00,0.1685,0.1711,True
IOTA/USDT,6h,2025-04-21 06:00:00,0.1711,0.1674,False
IOTA/USDT,6h,2025-04-21 12:00:00,0.1674,0.1685,True
IOTA/USDT,6h,2025-04-21 18:00:00,0.1685,0.1677,False
IOTA/USDT,6h,2025-04-22 00:00:00,0.1677,0.1729,True
IOTA/USDT,6h,2025-04-22 06:00:00,0.1729,0.182,True
IOTA/USDT,6h,2025-04-22 12:00:00,0.182,0.1859,True
IOTA/USDT,6h,2025-04-22 18:00:00,0.1859,0.1937,True
IOTA/USDT,6h,2025-04-23 00:00:00,0.1937,0.1941,True
IOTA/USDT,6h,2025-04-23 06:00:00,0.1941,0.1928,False
IOTA/USDT,6h,2025-04-23 12:00:00,0.1928,0.1956,True
IOTA/USDT,6h,2025-04-23 18:00:00,0.1956,0.1914,False
IOTA/USDT,6h,2025-04-24 00:00:00,0.1914,0.1908,False
IOTA/USDT,6h,2025-04-24 06:00:00,0.1908,0.1976,True
IOTA/USDT,6h,2025-04-24 12:00:00,0.1976,0.2015,True
IOTA/USDT,6h,2025-04-24 18:00:00,0.2015,0.2004,False
IOTA/USDT,6h,2025-04-25 00:00:00,0.2004,0.2043,True
IOTA/USDT,6h,2025-04-25 06:00:00,0.2043,0.2079,True
IOTA/USDT,6h,2025-04-25 12:00:00,0.2079,0.2101,True
IOTA/USDT,6h,2025-04-25 18:00:00,0.2101,0.2156,True
IOTA/USDT,6h,2025-04-26 00:00:00,0.2156,0.2112,False
IOTA/USDT,6h,2025-04-26 06:00:00,0.2112,0.2118,True
IOTA/USDT,6h,2025-04-26 12:00:00,0.2118,0.2113,False
IOTA/USDT,6h,2025-04-26 18:00:00,0.2113,0.2044,False
IOTA/USDT,6h,2025-04-28 00:00:00,0.2205,0.2246,True
IOTA/USDT,6h,2025-04-28 06:00:00,0.2246,0.2222,False
IOTA/USDT,6h,2025-04-28 12:00:00,0.2222,0.2221,False
IOTA/USDT,6h,2025-04-28 18:00:00,0.2221,0.2218,False
IOTA/USDT,6h,2025-05-08 00:00:00,0.2151,0.2176,True
IOTA/USDT,6h,2025-05-08 06:00:00,0.2176,0.2218,True
IOTA/USDT,6h,2025-05-08 12:00:00,0.2218,0.2311,True
IOTA/USDT,6h,2025-05-08 18:00:00,0.2311,0.2311,False
IOTA/USDT,6h,2025-05-09 00:00:00,0.2311,0.2372,True
IOTA/USDT,6h,2025-05-09 06:00:00,0.2372,0.2359,False
IOTA/USDT,6h,2025-05-09 12:00:00,0.2359,0.2376,True
IOTA/USDT,6h,2025-05-09 18:00:00,0.2376,0.2432,True
IOTA/USDT,6h,2025-05-10 00:00:00,0.2432,0.2415,False
IOTA/USDT,6h,2025-05-10 06:00:00,0.2415,0.2498,True
IOTA/USDT,6h,2025-05-10 12:00:00,0.2498,0.2564,True
IOTA/USDT,6h,2025-05-10 18:00:00,0.2564,0.2506,False
IOTA/USDT,6h,2025-05-11 00:00:00,0.2506,0.2496,False
IOTA/USDT,6h,2025-05-11 06:00:00,0.2496,0.2466,False
IOTA/USDT,6h,2025-05-11 12:00:00,0.2466,0.2472,True
IOTA/USDT,6h,2025-05-11 18:00:00,0.2472,0.2545,True
IOTA/USDT,6h,2025-05-12 00:00:00,0.2545,0.2516,False
IOTA/USDT,6h,2025-05-12 06:00:00,0.2516,0.246,False
IOTA/USDT,6h,2025-05-20 12:00:00,0.2205,0.2243,True
