symbol,timeframe,timestamp,price,next_close,success
BNB/USDT,3m,2025-06-18 19:45:00,640.55,640.51,False
BNB/USDT,3m,2025-06-18 19:48:00,640.51,640.66,True
BNB/USDT,3m,2025-06-18 19:51:00,640.66,640.48,False
BNB/USDT,3m,2025-06-18 20:24:00,640.77,641.06,True
BNB/USDT,3m,2025-06-18 20:27:00,641.06,641.13,True
BNB/USDT,3m,2025-06-18 20:30:00,641.13,641.63,True
BNB/USDT,3m,2025-06-18 20:33:00,641.63,642.05,True
BNB/USDT,3m,2025-06-18 20:36:00,642.05,642.38,True
BNB/USDT,3m,2025-06-18 20:39:00,642.38,642.99,True
BNB/USDT,3m,2025-06-18 20:42:00,642.99,643.81,True
BNB/USDT,3m,2025-06-18 20:45:00,643.81,644.18,True
BNB/USDT,3m,2025-06-18 20:48:00,644.18,644.5,True
BNB/USDT,3m,2025-06-18 20:51:00,644.5,644.19,False
BNB/USDT,3m,2025-06-18 20:54:00,644.19,644.5,True
BNB/USDT,3m,2025-06-18 20:57:00,644.5,644.33,False
BNB/USDT,3m,2025-06-18 21:00:00,644.33,644.04,False
BNB/USDT,3m,2025-06-18 21:03:00,644.04,643.12,False
BNB/USDT,3m,2025-06-18 21:06:00,643.12,643.3,True
BNB/USDT,3m,2025-06-18 21:09:00,643.3,642.9,False
BNB/USDT,3m,2025-06-18 23:03:00,645.41,645.01,False
BNB/USDT,3m,2025-06-19 00:21:00,644.87,645.29,True
BNB/USDT,3m,2025-06-19 00:24:00,645.29,645.34,True
BNB/USDT,3m,2025-06-19 00:27:00,645.34,645.66,True
BNB/USDT,3m,2025-06-19 00:30:00,645.66,645.68,True
BNB/USDT,3m,2025-06-19 00:33:00,645.68,645.24,False
BNB/USDT,3m,2025-06-19 00:36:00,645.24,645.48,True
BNB/USDT,3m,2025-06-19 00:39:00,645.48,645.52,True
BNB/USDT,3m,2025-06-19 00:42:00,645.52,645.68,True
BNB/USDT,3m,2025-06-19 00:45:00,645.68,645.62,False
BNB/USDT,3m,2025-06-19 00:48:00,645.62,645.27,False
BNB/USDT,3m,2025-06-19 00:51:00,645.27,644.95,False
BNB/USDT,3m,2025-06-19 00:54:00,644.95,644.88,False
BNB/USDT,3m,2025-06-19 02:30:00,642.03,642.41,True
BNB/USDT,3m,2025-06-19 02:33:00,642.41,643.06,True
BNB/USDT,3m,2025-06-19 02:36:00,643.06,643.71,True
BNB/USDT,3m,2025-06-19 02:39:00,643.71,643.62,False
BNB/USDT,3m,2025-06-19 02:42:00,643.62,643.41,False
BNB/USDT,3m,2025-06-19 02:45:00,643.41,643.2,False
BNB/USDT,3m,2025-06-19 02:48:00,643.2,643.17,False
BNB/USDT,3m,2025-06-19 02:51:00,643.17,643.26,True
BNB/USDT,3m,2025-06-19 02:54:00,643.26,642.73,False
BNB/USDT,3m,2025-06-19 02:57:00,642.73,643.28,True
BNB/USDT,3m,2025-06-19 03:00:00,643.28,643.78,True
BNB/USDT,3m,2025-06-19 03:03:00,643.78,643.97,True
