symbol,timeframe,timestamp,price,next_close,success
VET/USDT,4h,2025-05-02 16:00:00,0.02693,0.02742,True
VET/USDT,4h,2025-05-02 20:00:00,0.02742,0.02698,False
VET/USDT,4h,2025-05-03 00:00:00,0.02698,0.02662,False
VET/USDT,4h,2025-05-07 08:00:00,0.02534,0.02477,False
VET/USDT,4h,2025-05-07 20:00:00,0.02487,0.02588,True
VET/USDT,4h,2025-05-08 00:00:00,0.02588,0.02636,True
VET/USDT,4h,2025-05-08 04:00:00,0.02636,0.02664,True
VET/USDT,4h,2025-05-08 08:00:00,0.02664,0.02719,True
VET/USDT,4h,2025-05-08 12:00:00,0.02719,0.0275,True
VET/USDT,4h,2025-05-08 16:00:00,0.0275,0.02869,True
VET/USDT,4h,2025-05-08 20:00:00,0.02869,0.02859,False
VET/USDT,4h,2025-05-09 00:00:00,0.02859,0.02953,True
VET/USDT,4h,2025-05-09 04:00:00,0.02953,0.0297,True
VET/USDT,4h,2025-05-09 08:00:00,0.0297,0.02945,False
VET/USDT,4h,2025-05-09 12:00:00,0.02945,0.02975,True
VET/USDT,4h,2025-05-09 16:00:00,0.02975,0.03002,True
VET/USDT,4h,2025-05-09 20:00:00,0.03002,0.03027,True
VET/USDT,4h,2025-05-10 00:00:00,0.03027,0.03082,True
VET/USDT,4h,2025-05-10 04:00:00,0.03082,0.03019,False
VET/USDT,4h,2025-05-10 08:00:00,0.03019,0.03047,True
VET/USDT,4h,2025-05-10 12:00:00,0.03047,0.03103,True
VET/USDT,4h,2025-05-10 16:00:00,0.03103,0.03227,True
VET/USDT,4h,2025-05-10 20:00:00,0.03227,0.03189,False
VET/USDT,4h,2025-05-11 00:00:00,0.03189,0.03071,False
VET/USDT,4h,2025-05-11 04:00:00,0.03071,0.031,True
VET/USDT,4h,2025-05-11 08:00:00,0.031,0.03052,False
VET/USDT,4h,2025-05-12 04:00:00,0.03288,0.0319,False
VET/USDT,4h,2025-05-19 16:00:00,0.02799,0.02804,True
VET/USDT,4h,2025-05-19 20:00:00,0.02804,0.02835,True
VET/USDT,4h,2025-05-20 00:00:00,0.02835,0.02791,False
VET/USDT,4h,2025-05-20 04:00:00,0.02791,0.02754,False
VET/USDT,4h,2025-05-21 00:00:00,0.02862,0.02853,False
VET/USDT,4h,2025-05-21 08:00:00,0.0285,0.0289,True
VET/USDT,4h,2025-05-21 12:00:00,0.0289,0.02879,False
VET/USDT,4h,2025-05-21 16:00:00,0.02879,0.02915,True
VET/USDT,4h,2025-05-21 20:00:00,0.02915,0.02999,True
VET/USDT,4h,2025-05-22 00:00:00,0.02999,0.03005,True
VET/USDT,4h,2025-05-22 04:00:00,0.03005,0.03019,True
VET/USDT,4h,2025-05-22 08:00:00,0.03019,0.03047,True
VET/USDT,4h,2025-05-22 12:00:00,0.03047,0.03036,False
VET/USDT,4h,2025-05-22 16:00:00,0.03036,0.03066,True
VET/USDT,4h,2025-05-22 20:00:00,0.03066,0.03136,True
VET/USDT,4h,2025-05-23 00:00:00,0.03136,0.03029,False
VET/USDT,4h,2025-05-23 04:00:00,0.03029,0.02923,False
VET/USDT,4h,2025-05-23 08:00:00,0.02923,0.02928,True
VET/USDT,4h,2025-05-26 04:00:00,0.02818,0.02784,False
VET/USDT,4h,2025-05-27 04:00:00,0.02796,0.02821,True
VET/USDT,4h,2025-05-27 08:00:00,0.02821,0.02815,False
VET/USDT,4h,2025-05-27 12:00:00,0.02815,0.02795,False
VET/USDT,4h,2025-05-27 16:00:00,0.02795,0.02758,False
VET/USDT,4h,2025-05-27 20:00:00,0.02758,0.02776,True
VET/USDT,4h,2025-05-28 00:00:00,0.02776,0.02766,False
VET/USDT,4h,2025-05-28 04:00:00,0.02766,0.02783,True
VET/USDT,4h,2025-05-28 08:00:00,0.02783,0.02684,False
VET/USDT,4h,2025-06-02 04:00:00,0.02426,0.02391,False
VET/USDT,4h,2025-06-02 08:00:00,0.02391,0.02424,True
VET/USDT,4h,2025-06-02 12:00:00,0.02424,0.02399,False
VET/USDT,4h,2025-06-02 16:00:00,0.02399,0.02484,True
VET/USDT,4h,2025-06-02 20:00:00,0.02484,0.02488,True
