symbol,timeframe,timestamp,action,price,next_close,success
BTC/USDT,1m,2025-06-16 05:02:00,BUY,106427.07,106430.81,True
BTC/USDT,1m,2025-06-16 05:03:00,BUY,106430.81,106437.41,True
BTC/USDT,1m,2025-06-16 05:04:00,BUY,106437.41,106438.14,True
BTC/USDT,1m,2025-06-16 05:05:00,BUY,106438.14,106391.77,False
BTC/USDT,1m,2025-06-16 05:06:00,BUY,106391.77,106400.0,True
BTC/USDT,1m,2025-06-16 05:07:00,BUY,106400.0,106312.34,False
BTC/USDT,1m,2025-06-16 05:16:00,BUY,106445.46,106450.0,True
BTC/USDT,1m,2025-06-16 05:17:00,BUY,106450.0,106482.0,True
BTC/USDT,1m,2025-06-16 05:18:00,BUY,106482.0,106484.0,True
BTC/USDT,1m,2025-06-16 05:19:00,BUY,106484.0,106514.74,True
BTC/USDT,1m,2025-06-16 05:20:00,BUY,106514.74,106488.87,False
BTC/USDT,1m,2025-06-16 05:21:00,BUY,106488.87,106513.71,True
BTC/USDT,1m,2025-06-16 05:22:00,BUY,106513.71,106510.31,False
BTC/USDT,1m,2025-06-16 05:23:00,BUY,106510.31,106510.3,False
BTC/USDT,1m,2025-06-16 05:24:00,BUY,106510.3,106576.6,True
BTC/USDT,1m,2025-06-16 05:25:00,BUY,106576.6,106630.0,True
BTC/USDT,1m,2025-06-16 05:26:00,BUY,106630.0,106666.01,True
BTC/USDT,1m,2025-06-16 05:27:00,BUY,106666.01,106672.27,True
BTC/USDT,1m,2025-06-16 05:28:00,BUY,106672.27,106689.91,True
BTC/USDT,1m,2025-06-16 05:29:00,BUY,106689.91,106699.99,True
BTC/USDT,1m,2025-06-16 05:30:00,BUY,106699.99,106769.1,True
BTC/USDT,1m,2025-06-16 05:31:00,BUY,106769.1,106690.01,False
BTC/USDT,1m,2025-06-16 05:32:00,BUY,106690.01,106709.43,True
BTC/USDT,1m,2025-06-16 05:33:00,BUY,106709.43,106610.99,False
BTC/USDT,1m,2025-06-16 05:34:00,BUY,106610.99,106590.07,False
BTC/USDT,1m,2025-06-16 06:09:00,BUY,106591.49,106600.0,True
BTC/USDT,1m,2025-06-16 06:10:00,BUY,106600.0,106559.56,False
BTC/USDT,1m,2025-06-16 06:11:00,BUY,106559.56,106559.52,False
BTC/USDT,1m,2025-06-16 06:12:00,BUY,106559.52,106602.8,True
BTC/USDT,1m,2025-06-16 06:13:00,BUY,106602.8,106600.55,False
BTC/USDT,1m,2025-06-16 06:14:00,BUY,106600.55,106623.97,True
BTC/USDT,1m,2025-06-16 06:15:00,BUY,106623.97,106623.98,True
BTC/USDT,1m,2025-06-16 06:16:00,BUY,106623.98,106656.24,True
BTC/USDT,1m,2025-06-16 06:17:00,BUY,106656.24,106667.68,True
BTC/USDT,1m,2025-06-16 06:18:00,BUY,106667.68,106699.24,True
BTC/USDT,1m,2025-06-16 06:19:00,BUY,106699.24,106723.98,True
BTC/USDT,1m,2025-06-16 06:20:00,BUY,106723.98,106723.99,True
BTC/USDT,1m,2025-06-16 06:21:00,BUY,106723.99,106703.16,False
BTC/USDT,1m,2025-06-16 06:22:00,BUY,106703.16,106692.26,False
BTC/USDT,1m,2025-06-16 06:23:00,BUY,106692.26,106771.38,True
BTC/USDT,1m,2025-06-16 06:24:00,BUY,106771.38,106745.35,False
BTC/USDT,1m,2025-06-16 06:25:00,BUY,106745.35,106707.56,False
BTC/USDT,1m,2025-06-16 06:26:00,BUY,106707.56,106699.88,False
BTC/USDT,1m,2025-06-16 06:27:00,BUY,106699.88,106701.44,True
BTC/USDT,1m,2025-06-16 06:28:00,BUY,106701.44,106712.05,True
BTC/USDT,1m,2025-06-16 06:37:00,BUY,106738.0,106718.43,False
BTC/USDT,1m,2025-06-16 06:40:00,BUY,106735.99,106721.22,False
BTC/USDT,1m,2025-06-16 07:01:00,BUY,106716.37,106696.65,False
BTC/USDT,1m,2025-06-16 07:02:00,BUY,106696.65,106670.68,False
BTC/USDT,1m,2025-06-16 07:03:00,BUY,106670.68,106615.42,False
BTC/USDT,1m,2025-06-16 07:07:00,BUY,106646.99,106687.86,True
BTC/USDT,1m,2025-06-16 07:08:00,BUY,106687.86,106670.02,False
BTC/USDT,1m,2025-06-16 07:09:00,BUY,106670.02,106659.58,False
BTC/USDT,1m,2025-06-16 07:10:00,BUY,106659.58,106673.52,True
BTC/USDT,1m,2025-06-16 07:11:00,BUY,106673.52,106655.98,False
BTC/USDT,1m,2025-06-16 07:12:00,BUY,106655.98,106637.07,False
BTC/USDT,1m,2025-06-16 07:13:00,BUY,106637.07,106695.83,True
BTC/USDT,1m,2025-06-16 07:14:00,BUY,106695.83,106735.99,True
BTC/USDT,1m,2025-06-16 07:15:00,BUY,106735.99,106716.39,False
BTC/USDT,1m,2025-06-16 07:16:00,BUY,106716.39,106682.27,False
BTC/USDT,1m,2025-06-16 07:17:00,BUY,106682.27,106636.23,False
BTC/USDT,1m,2025-06-16 07:18:00,BUY,106636.23,106675.78,True
BTC/USDT,1m,2025-06-16 07:19:00,BUY,106675.78,106646.71,False
BTC/USDT,1m,2025-06-16 07:25:00,BUY,106722.43,106758.69,True
BTC/USDT,1m,2025-06-16 07:26:00,BUY,106758.69,106777.54,True
BTC/USDT,1m,2025-06-16 07:27:00,BUY,106777.54,106777.55,True
BTC/USDT,1m,2025-06-16 07:28:00,BUY,106777.55,106862.03,True
BTC/USDT,1m,2025-06-16 07:29:00,BUY,106862.03,107149.99,True
BTC/USDT,1m,2025-06-16 07:30:00,BUY,107149.99,107100.0,False
BTC/USDT,1m,2025-06-16 07:31:00,BUY,107100.0,107127.55,True
BTC/USDT,1m,2025-06-16 07:32:00,BUY,107127.55,107250.64,True
BTC/USDT,1m,2025-06-16 07:33:00,BUY,107250.64,107216.66,False
BTC/USDT,1m,2025-06-16 07:34:00,BUY,107216.66,107165.67,False
BTC/USDT,1m,2025-06-16 07:35:00,BUY,107165.67,107022.0,False
BTC/USDT,1m,2025-06-16 07:36:00,BUY,107022.0,107024.89,True
BTC/USDT,1m,2025-06-16 07:37:00,BUY,107024.89,107018.93,False
BTC/USDT,1m,2025-06-16 07:38:00,BUY,107018.93,107009.19,False
BTC/USDT,1m,2025-06-16 08:32:00,BUY,107035.21,107004.4,False
BTC/USDT,1m,2025-06-16 08:35:00,BUY,107025.07,107066.05,True
BTC/USDT,1m,2025-06-16 08:36:00,BUY,107066.05,107066.06,True
BTC/USDT,1m,2025-06-16 08:37:00,BUY,107066.06,107086.99,True
BTC/USDT,1m,2025-06-16 08:38:00,BUY,107086.99,107063.5,False
BTC/USDT,1m,2025-06-16 08:39:00,BUY,107063.5,107050.63,False
BTC/USDT,1m,2025-06-16 08:40:00,BUY,107050.63,107057.78,True
BTC/USDT,1m,2025-06-16 08:41:00,BUY,107057.78,107063.5,True
BTC/USDT,1m,2025-06-16 08:42:00,BUY,107063.5,107092.33,True
BTC/USDT,1m,2025-06-16 08:43:00,BUY,107092.33,107087.23,False
BTC/USDT,1m,2025-06-16 08:44:00,BUY,107087.23,107087.23,False
BTC/USDT,1m,2025-06-16 08:45:00,BUY,107087.23,107074.37,False
BTC/USDT,1m,2025-06-16 08:46:00,BUY,107074.37,107097.98,True
BTC/USDT,1m,2025-06-16 08:47:00,BUY,107097.98,107124.0,True
BTC/USDT,1m,2025-06-16 08:48:00,BUY,107124.0,107093.48,False
BTC/USDT,1m,2025-06-16 08:49:00,BUY,107093.48,107165.8,True
BTC/USDT,1m,2025-06-16 08:50:00,BUY,107165.8,107170.4,True
BTC/USDT,1m,2025-06-16 08:51:00,BUY,107170.4,107199.99,True
BTC/USDT,1m,2025-06-16 08:52:00,BUY,107199.99,107200.0,True
BTC/USDT,1m,2025-06-16 08:53:00,BUY,107200.0,107194.15,False
BTC/USDT,1m,2025-06-16 08:54:00,BUY,107194.15,107224.33,True
BTC/USDT,1m,2025-06-16 08:55:00,BUY,107224.33,107180.0,False
BTC/USDT,1m,2025-06-16 08:56:00,BUY,107180.0,107155.1,False
BTC/USDT,1m,2025-06-16 08:57:00,BUY,107155.1,107154.54,False
BTC/USDT,1m,2025-06-16 08:58:00,BUY,107154.54,107180.0,True
BTC/USDT,1m,2025-06-16 08:59:00,BUY,107180.0,107160.17,False
BTC/USDT,1m,2025-06-16 09:01:00,BUY,107233.43,107200.0,False
BTC/USDT,1m,2025-06-16 09:02:00,BUY,107200.0,107156.33,False
BTC/USDT,1m,2025-06-16 09:34:00,BUY,106987.42,106987.42,False
BTC/USDT,1m,2025-06-16 09:35:00,BUY,106987.42,106955.99,False
BTC/USDT,1m,2025-06-16 09:38:00,BUY,106980.5,106976.73,False
BTC/USDT,1m,2025-06-16 09:41:00,BUY,106992.67,107031.55,True
BTC/USDT,1m,2025-06-16 09:42:00,BUY,107031.55,107005.66,False
BTC/USDT,1m,2025-06-16 09:43:00,BUY,107005.66,107001.38,False
BTC/USDT,1m,2025-06-16 09:44:00,BUY,107001.38,107001.37,False
BTC/USDT,1m,2025-06-16 09:45:00,BUY,107001.37,107016.15,True
BTC/USDT,1m,2025-06-16 09:46:00,BUY,107016.15,107037.75,True
BTC/USDT,1m,2025-06-16 09:47:00,BUY,107037.75,107027.05,False
