symbol,timeframe,timestamp,price,next_close,success
ZRX/USDT,1h,2025-06-15 06:00:00,0.2287,0.2292,True
ZRX/USDT,1h,2025-06-15 07:00:00,0.2292,0.2296,True
ZRX/USDT,1h,2025-06-15 08:00:00,0.2296,0.2298,True
ZRX/USDT,1h,2025-06-15 09:00:00,0.2298,0.2308,True
ZRX/USDT,1h,2025-06-15 10:00:00,0.2308,0.2299,False
ZRX/USDT,1h,2025-06-15 11:00:00,0.2299,0.2309,True
ZRX/USDT,1h,2025-06-15 12:00:00,0.2309,0.2295,False
ZRX/USDT,1h,2025-06-15 13:00:00,0.2295,0.2305,True
ZRX/USDT,1h,2025-06-15 14:00:00,0.2305,0.2295,False
ZRX/USDT,1h,2025-06-15 15:00:00,0.2295,0.2296,True
ZRX/USDT,1h,2025-06-15 16:00:00,0.2296,0.2292,False
ZRX/USDT,1h,2025-06-16 01:00:00,0.2306,0.2316,True
ZRX/USDT,1h,2025-06-16 02:00:00,0.2316,0.2302,False
ZRX/USDT,1h,2025-06-16 03:00:00,0.2302,0.2314,True
ZRX/USDT,1h,2025-06-16 04:00:00,0.2314,0.2324,True
ZRX/USDT,1h,2025-06-16 05:00:00,0.2324,0.2328,True
ZRX/USDT,1h,2025-06-16 06:00:00,0.2328,0.234,True
ZRX/USDT,1h,2025-06-16 07:00:00,0.234,0.2342,True
ZRX/USDT,1h,2025-06-16 08:00:00,0.2342,0.235,True
ZRX/USDT,1h,2025-06-16 09:00:00,0.235,0.2338,False
ZRX/USDT,1h,2025-06-16 10:00:00,0.2338,0.2348,True
ZRX/USDT,1h,2025-06-16 11:00:00,0.2348,0.2341,False
ZRX/USDT,1h,2025-06-16 12:00:00,0.2341,0.2364,True
ZRX/USDT,1h,2025-06-16 13:00:00,0.2364,0.2371,True
ZRX/USDT,1h,2025-06-16 14:00:00,0.2371,0.2369,False
ZRX/USDT,1h,2025-06-16 15:00:00,0.2369,0.238,True
ZRX/USDT,1h,2025-06-16 16:00:00,0.238,0.2375,False
ZRX/USDT,1h,2025-06-16 17:00:00,0.2375,0.2389,True
ZRX/USDT,1h,2025-06-16 18:00:00,0.2389,0.2381,False
ZRX/USDT,1h,2025-06-16 19:00:00,0.2381,0.2384,True
ZRX/USDT,1h,2025-06-16 20:00:00,0.2384,0.238,False
ZRX/USDT,1h,2025-06-16 21:00:00,0.238,0.2334,False
ZRX/USDT,1h,2025-06-18 05:00:00,0.2253,0.2247,False
ZRX/USDT,1h,2025-06-18 06:00:00,0.2247,0.2247,False
ZRX/USDT,1h,2025-06-18 07:00:00,0.2247,0.2229,False
ZRX/USDT,1h,2025-06-18 22:00:00,0.2238,0.2242,True
ZRX/USDT,1h,2025-06-18 23:00:00,0.2242,0.2242,False
ZRX/USDT,1h,2025-06-19 00:00:00,0.2242,0.2226,False
ZRX/USDT,1h,2025-06-19 01:00:00,0.2226,0.2224,False
ZRX/USDT,1h,2025-06-19 02:00:00,0.2224,0.2235,True
ZRX/USDT,1h,2025-06-19 03:00:00,0.2235,0.2235,False
ZRX/USDT,1h,2025-06-19 04:00:00,0.2235,0.2229,False
ZRX/USDT,1h,2025-06-19 05:00:00,0.2229,0.2222,False
ZRX/USDT,1h,2025-06-19 06:00:00,0.2222,0.2222,False
ZRX/USDT,1h,2025-06-19 07:00:00,0.2222,0.2222,False
ZRX/USDT,1h,2025-06-19 08:00:00,0.2222,0.2236,True
ZRX/USDT,1h,2025-06-19 09:00:00,0.2236,0.2237,True
